Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Degradation in Accuracy Difference,Degradation in Accuracy Ratio
1,3,Hillshade_Noon,0.4368,2.5,0.2982561085006113,1.191650372239612,-0.057160894216880254,0.02479999999999999,0.9462738301559792
1,3,Hillshade_Noon,0.44,3.0,0.2982561085006113,1.1625695837420182,-0.048487371407458624,0.021600000000000008,0.9532062391681109
1,3,Hillshade_Noon,0.4408,3.5,0.2982561085006113,1.186687271002601,-0.055680618955834815,0.020799999999999985,0.9549393414211439
1,3,Hillshade_Noon,0.4576,4.0,0.2982561085006113,1.1665481236034625,-0.04967399522404753,0.0040000000000000036,0.9913344887348353
2,3,Baseline,0.4696,0.0,0.0,1,0.0,0.0,1.0
2,3,Hillshade_Noon,0.4672,0.125,0.34929120290247245,1.256947374620331,-0.08974945756376762,0.0024000000000000132,0.9948892674616695
2,3,Hillshade_Noon,0.4528,0.25,0.34929120290247245,1.2306362423536539,-0.08055921052461396,0.016800000000000037,0.9642248722316865
2,3,Hillshade_Noon,0.4344,0.5,0.34929120290247245,1.2202543525189813,-0.0769329077358602,0.03520000000000001,0.9250425894378194
2,3,Hillshade_Noon,0.4544,0.75,0.34929120290247245,1.2266638436251622,-0.07917168659433083,0.015199999999999991,0.9676320272572402
2,3,Hillshade_Noon,0.444,1.0,0.34929120290247245,1.2234167892730627,-0.0780375190737963,0.02560000000000001,0.9454855195911414
2,3,Hillshade_Noon,0.4464,1.5,0.34929120290247245,1.2320505280082197,-0.08105320806214494,0.0232,0.9505962521294719
2,3,Hillshade_Noon,0.4376,2.0,0.34929120290247245,1.2052700148439919,-0.07169901040466631,0.03200000000000003,0.9318568994889267
2,3,Hillshade_Noon,0.4616,2.5,0.34929120290247245,1.1982292584200247,-0.06923973612399548,0.008000000000000007,0.9829642248722317
2,3,Hillshade_Noon,0.4344,3.0,0.34929120290247245,1.2029887685723284,-0.07090219115032015,0.03520000000000001,0.9250425894378194
2,3,Hillshade_Noon,0.4536,3.5,0.34929120290247245,1.2018162675997106,-0.07049264687519019,0.016000000000000014,0.9659284497444633
2,3,Hillshade_Noon,0.4368,4.0,0.34929120290247245,1.199899369942655,-0.06982309138671627,0.032799999999999996,0.93015332197615
2,3,Slope,0.4656,0.125,0.22654392487192765,1.7873693196101752,-0.1783737359882283,0.0040000000000000036,0.9914821124361158
2,3,Slope,0.4632,0.25,0.22654392487192765,1.7580717592370168,-0.17173655167212076,0.006400000000000017,0.9863713798977853
2,3,Slope,0.4456,0.5,0.22654392487192765,1.7350403738610956,-0.16651893123382167,0.02400000000000002,0.948892674616695
2,3,Slope,0.4688,0.75,0.22654392487192765,1.7190294730401536,-0.1628917589211103,0.0008000000000000229,0.9982964224872232
2,3,Slope,0.4488,1.0,0.22654392487192765,1.686567472146482,-0.15553768982946192,0.02080000000000004,0.9557069846678024
2,3,Slope,0.4456,1.5,0.22654392487192765,1.6744900297044207,-0.15280161861622255,0.02400000000000002,0.948892674616695
2,3,Slope,0.4488,2.0,0.22654392487192765,1.6636698743540095,-0.1503503781554164,0.02080000000000004,0.9557069846678024
2,3,Slope,0.4664,2.5,0.22654392487192765,1.6706574521901563,-0.15193337146376518,0.003200000000000036,0.9931856899488926
2,3,Slope,0.4456,3.0,0.22654392487192765,1.6754220013074792,-0.15301275112104856,0.02400000000000002,0.948892674616695
2,3,Slope,0.4416,3.5,0.22654392487192765,1.65881732342692,-0.14925106222275258,0.028000000000000025,0.9403747870528109
2,3,Slope,0.4656,4.0,0.22654392487192765,1.6618887046682558,-0.14994686498394283,0.0040000000000000036,0.9914821124361158
2,3,Horizontal_Distance_To_Hydrology,0.4616,0.125,0.42416487222559995,1.124836132513513,-0.05295110219673227,0.008000000000000007,0.9829642248722317
2,3,Horizontal_Distance_To_Hydrology,0.4688,0.25,0.42416487222559995,1.125871784775856,-0.053390389506259184,0.0008000000000000229,0.9982964224872232
2,3,Horizontal_Distance_To_Hydrology,0.4672,0.5,0.42416487222559995,1.1179175730467954,-0.0500164923045468,0.0024000000000000132,0.9948892674616695
2,3,Horizontal_Distance_To_Hydrology,0.4664,0.75,0.42416487222559995,1.1154544989197241,-0.04897174278215549,0.003200000000000036,0.9931856899488926
