Trial Number/Type,Label Noise Prob,Accuracy,Flip Count
4,0.63,0.5256,2354.0
Average,0.63,0.5016,2373.0
0,0.64,0.5072,2396.0
1,0.64,0.5088,2408.0
2,0.64,0.464,2428.0
3,0.64,0.4832,2425.0
4,0.64,0.504,2391.0
Average,0.64,0.49344,2409.6
0,0.65,0.4864,2427.0
1,0.65,0.492,2450.0
2,0.65,0.4608,2472.0
3,0.65,0.472,2452.0
4,0.65,0.488,2429.0
Average,0.65,0.47984,2446.0
0,0.66,0.4768,2467.0
1,0.66,0.4952,2489.0
2,0.66,0.4344,2500.0
3,0.66,0.4528,2491.0
4,0.66,0.4648,2464.0
Average,0.66,0.4648,2482.2
0,0.67,0.4736,2493.0
1,0.67,0.4464,2524.0
2,0.67,0.4264,2535.0
3,0.67,0.4528,2534.0
4,0.67,0.4768,2501.0
Average,0.67,0.45519999999999994,2517.4
0,0.68,0.4336,2520.0
1,0.68,0.432,2554.0
2,0.68,0.4256,2578.0
3,0.68,0.4144,2574.0
4,0.68,0.4512,2540.0
Average,0.68,0.43136,2553.2
0,0.6900000000000001,0.436,2562.0
1,0.6900000000000001,0.4512,2592.0
2,0.6900000000000001,0.4016,2613.0
3,0.6900000000000001,0.416,2616.0
4,0.6900000000000001,0.4368,2588.0
Average,0.6900000000000001,0.42832,2594.2
0,0.7000000000000001,0.4016,2601.0
1,0.7000000000000001,0.4264,2633.0
2,0.7000000000000001,0.3848,2649.0
3,0.7000000000000001,0.3712,2667.0
4,0.7000000000000001,0.3968,2628.0
Average,0.7000000000000001,0.39616,2635.6
0,0.71,0.3928,2631.0
1,0.71,0.3856,2677.0
2,0.71,0.364,2678.0
3,0.71,0.3464,2698.0
4,0.71,0.36,2668.0
Average,0.71,0.36976,2670.4
0,0.72,0.3752,2669.0
1,0.72,0.372,2723.0
2,0.72,0.3504,2708.0
3,0.72,0.3512,2730.0
4,0.72,0.3848,2715.0
Average,0.72,0.36672,2709.0
0,0.73,0.3696,2703.0
1,0.73,0.3688,2765.0
2,0.73,0.324,2746.0
3,0.73,0.3608,2761.0
4,0.73,0.3488,2762.0
Average,0.73,0.3544,2747.4
0,0.74,0.3608,2751.0
1,0.74,0.336,2798.0
2,0.74,0.308,2785.0
3,0.74,0.3152,2802.0
4,0.74,0.3368,2802.0
Average,0.74,0.33136,2787.6
0,0.75,0.336,2780.0
1,0.75,0.312,2842.0
2,0.75,0.2952,2827.0
3,0.75,0.3168,2838.0
4,0.75,0.2928,2843.0
Average,0.75,0.31056,2826.0
0,0.76,0.32,2821.0
1,0.76,0.2952,2879.0
2,0.76,0.2728,2863.0
3,0.76,0.2816,2879.0
4,0.76,0.3144,2878.0
Average,0.76,0.2968,2864.0
0,0.77,0.288,2863.0
1,0.77,0.288,2913.0
2,0.77,0.2648,2892.0
3,0.77,0.2752,2916.0
4,0.77,0.3024,2918.0
Average,0.77,0.28368000000000004,2900.4
0,0.78,0.288,2900.0
1,0.78,0.2528,2951.0
2,0.78,0.2592,2922.0
3,0.78,0.2672,2952.0
4,0.78,0.276,2952.0
Average,0.78,0.26864,2935.4
0,0.79,0.2624,2941.0
1,0.79,0.2384,2993.0
2,0.79,0.2376,2964.0
3,0.79,0.2568,2988.0
4,0.79,0.264,2973.0
Average,0.79,0.25184,2971.8
0,0.8,0.2576,2976.0
1,0.8,0.2304,3037.0
2,0.8,0.2368,3004.0
3,0.8,0.2312,3024.0
4,0.8,0.2456,3027.0
Average,0.8,0.24032,3013.6
0,0.81,0.2376,3015.0
1,0.81,0.2168,3073.0
2,0.81,0.1952,3042.0
3,0.81,0.2096,3065.0
4,0.81,0.2104,3055.0
Average,0.81,0.21392000000000003,3050.0
0,0.8200000000000001,0.2192,3059.0
1,0.8200000000000001,0.1848,3108.0
2,0.8200000000000001,0.1896,3075.0
3,0.8200000000000001,0.2008,3092.0
4,0.8200000000000001,0.2112,3090.0
